label,carbon_price,cost_rmb,emissions_tco2,open_sites,open_dcs,road_share,rail_share,nev_share,tonne_km_total
weighted_p0,0,387406535.25,19584.369,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.265,0.735,0.0,600753646.0
weighted_p25,25,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p50,50,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p75,75,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p100,100,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p125,125,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p150,150,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p175,175,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p200,200,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p225,225,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p250,250,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p275,275,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p300,300,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p325,325,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p350,350,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p375,375,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p400,400,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p425,425,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p450,450,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p475,475,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p500,500,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p525,525,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p550,550,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p575,575,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p600,600,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p625,625,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p650,650,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p675,675,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p700,700,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p725,725,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p750,750,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p775,775,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p800,800,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p825,825,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p850,850,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p875,875,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p900,900,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p925,925,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p950,950,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p975,975,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
weighted_p1000,1000,387473812.05,15658.066,j1_Suzhou,k1_Shanghai+k2_Chengdu+k3_Shenzhen,0.1096,0.8904,0.0,593509545.0
